"Name","Notes","Runtime","State","Tags","batch_size","cons_weight","cp_weight","csv_path","ema_decay","flip_p","image_size","label_smoothing","lr","max_logit_norm","name","num_workers","original_data_dir","persistent_workers","pin_memory","prefetch_factor","processed_data_dir","processed_hard_data_dir","temperature","validation_split","weight_decay","epoch","train/acc","train/loss_epoch","train/loss_step","trainer/global_step","val/acc","val/logloss","val/loss"
"resnet101-6.3","0.31289","1450","finished","soft+hard","96","0.25","0.08","input/driver_imgs_list.csv","","0","224","0.05","0.00025","7","resnet101","8","input/original/train","true","true","2","input/processed/train","input/processed_hard/train","1","0.2","0.006","7","0.9998949766159058","0.19835172593593595","0.21237565577030185","1495","0.9985824823379515","0.08248727768659592","0.30575430393218994"
"resnet101-6.2","0.30557","1180","failed","soft+hard","96","0.2","0.05","input/driver_imgs_list.csv","","0","224","0.05","0.0003","","resnet101","8","input/original/train","true","true","2","input/processed/train","input/processed_hard/train","1","0.2","0.005","6","0.9998958110809326","0.23479773104190824","0.2327541559934616","1308","0.9992910623550416","0.06330949813127518","0.2931368052959442"
"resnet101-6.1","0.27391","1183","failed","soft+hard","96","0.2","0.05","input/driver_imgs_list.csv","","0","224","0.05","0.0003","","resnet101","8","input/original/train","true","true","2","input/processed/train","input/processed_hard/train","1","0.2","0.001","6","0.999707579612732","0.23579907417297363","0.21688678860664368","1308","0.9984633326530457","0.06767194718122482","0.29489240050315857"
"mean-teacher-1.2","0.42518","1845","finished","hard_mask","96","0.2","0.05","input/driver_imgs_list.csv","0.996","0","224","0.05","0.0001","","resnet101","8","input/original/train","true","true","2","input/processed/train","input/processed_hard/train","1","0.2","0.001","9","0.9926720261573792","0.2751738727092743","0.28421148657798767","1869","0.989727020263672","0.08992885053157806","0.29752248525619507"
"mean-teacher-1","0.28293","1936","failed","soft_mask","96","0.2","0.05","input/driver_imgs_list.csv","0.996","0","224","0.05","0.0001","","resnet101","8","input/original/train","true","true","2","input/processed/train","input/processed_hard/train","1","0.2","0.001","9","0.9993561506271362","0.27101418375968933","0.2687501907348633","1869","0.9966439604759216","0.06492936611175537","0.27624306082725525"
"vit_b_16-1","0.37994","1861","finished","soft+hard","96","0.06","0.12","input/driver_imgs_list.csv","","0","224","0.1","0.00002","6","vit_vit_b_16","8","input/original/train","true","true","2","input/processed/train","input/processed_hard/train","1.6","0.2","0.05","9","1","0.43033599853515625","0.4349044263362885","1869","0.996728777885437","0.1752212643623352","0.43487876653671265"
"resnet101-5.2","0.27965","1814","finished","soft+hard","128","0.1","0.1","input/driver_imgs_list.csv","","0","224","0.1","0.0007","8","resnet101","8","input/original/train","true","true","2","input/processed/train","input/processed_hard/train","1.3","0.2","0.0005","9","1","0.4421256482601166","0.4411163628101349","1409","0.9984664916992188","0.5151531100273132","0.44473469257354736"
"resnet101-5.1","0.27849","1819","finished","soft+hard","128","0.2","0.05","input/driver_imgs_list.csv","","0","224","0.05","0.0003","","resnet101","8","input/original/train","true","true","2","input/processed/train","input/processed_hard/train","1","0.2","0.001","9","1","0.2683665156364441","0.26738792657852173","1409","0.9980507493019104","0.28941574692726135","0.271661639213562"
"resnet101-4.5","0.28944","1498","finished","soft_mask","128","0.2","0.03","input/driver_imgs_list.csv","","0.2","224","0","0.0003","","resnet101","8","input/original/train","true","true","","input/processed/train","","0.5","0.2","0.001","9","1","0.0030454027000814676","0.0001074853935278952","1409","0.9961090087890624","0.022363491356372833","0.044102005660533905"
"resnet101-4.4","0.26241","1553","finished","soft_mask","128","0.2","0.03","input/driver_imgs_list.csv","","0.2","224","0","0.0003","","resnet101","8","input/original/train","true","true","","input/processed/train","","0.8","0.2","0.001","9","0.999822199344635","0.003023624187335372","0.00042703901999630034","1409","0.997014820575714","0.011804490350186825","0.03079814277589321"
"resnet101-4.3","0.26819","1564","finished","soft_mask","128","0.2","0.05","input/driver_imgs_list.csv","","0.2","224","0","0.0003","","resnet101","8","input/original/train","true","true","","input/processed/train","","0.8","0.2","0.001","9","0.9998268485069276","0.002941347425803542","0.0011653455439954996","1409","0.9970536828041076","0.011860928498208525","0.028312696143984795"
"resnet101-4.2","0.26574","1275","failed","soft_mask","128","0.2","0","input/driver_imgs_list.csv","","0.2","224","0","0.0003","","resnet101","8","input/original/train","true","true","","input/processed/train","","0.8","0.2","0.001","9","0.9984903335571288","0.02023043856024742","0.0013710892526432872","1299","0.9967918992042542","0.01226882915943861","0.030261369422078133"
"resnet101-4.1","0.36822","1535","finished","soft_mask","128","0.2","0.05","input/driver_imgs_list.csv","","0.2","224","0.05","0.0003","","resnet101","8","input/original/train","true","true","","input/processed/train","","0.8","0.2","0.001","9","0.999760627746582","0.5550149083137512","0.5532688498497009","1409","0.9970576763153076","0.33320581912994385","0.5708764791488647"
"resnet50-1","0.29651","2238","finished","soft_mask","128","0.2","0.05","input/driver_imgs_list.csv","","0.2","224","0.05","0.0003","","resnet50","4","input/original/train","true","true","","input/processed/train","","","0.2","0.003","9","0.9996535181999208","0.556481122970581","0.5543500781059265","1409","0.9970184564590454","0.2918357253074646","0.5692898631095886"
"resnet152-2","0.27506","2258","finished","soft_mask","128","0.2","0.05","input/driver_imgs_list.csv","","0.2","224","0.05","0.0003","","resnet152","4","input/original/train","true","true","","input/processed/train","","","0.2","0.003","9","0.9998956918716432","0.5534731149673462","0.5946169495582581","1409","0.996831476688385","0.29237669706344604","0.5719719529151917"
"resnet152-1","0.28285","2308","finished","soft_mask","128","0.2","0.05","input/driver_imgs_list.csv","","0.2","224","0.05","0.0003","","resnet152","4","input/original/train","true","true","","input/processed/train","","","0.2","0.001","9","0.999764919281006","0.5539981126785278","0.585386335849762","1409","0.997182309627533","0.2909562587738037","0.567676842212677"
